Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.502880573,-1.419499159,-1.493699789,-1.152327418,-1.183776498
Afghanistan,AFG,Control of Corruption: Number of Sources,CC.NO.SRC,10,10,9,8,8
Afghanistan,AFG,Control of Corruption: Percentile Rank,CC.PER.RNK,4.761904716,5.714285851,4.761904716,12.38095284,12.26415062
Afghanistan,AFG,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,0,1.428571463,0,4.761904716,4.716980934
Afghanistan,AFG,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,9.523809433,11.90476227,10.47619057,20.95238113,20.28301811
Afghanistan,AFG,Control of Corruption: Standard Error,CC.STD.ERR,0.154771924,0.154592857,0.157480106,0.18276082,0.17332001
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-1.501345396,-1.518614173,-1.60950923,-1.669562101,-1.879552364
Afghanistan,AFG,Government Effectiveness: Number of Sources,GE.NO.SRC,8,8,7,6,6
Afghanistan,AFG,Government Effectiveness: Percentile Rank,GE.PER.RNK,7.142857075,6.666666508,5.238095284,5.238095284,1.886792421
Afghanistan,AFG,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,1.428571463,1.428571463,1.428571463,0.952380955,0
Afghanistan,AFG,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,11.90476227,12.38095284,11.4285717,11.4285717,8.490566254
Afghanistan,AFG,Government Effectiveness: Standard Error,GE.STD.ERR,0.245708838,0.245630533,0.278781325,0.300028265,0.28488034
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.753262043,-2.652406931,-2.702631712,-2.518530369,-2.550801754
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,6,6,5,5,5
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,0.471698105,0.943396211,0.471698105,1.415094376,0.471698105
Afghanistan,AFG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,0,0,0,0,0
Afghanistan,AFG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,2.358490467,2.830188751,2.358490467,4.245283127,4.245283127
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.223669991,0.237725616,0.241603479,0.243064463,0.240944445
Afghanistan,AFG,Regulatory Quality: Estimate,RQ.EST,-1.138203621,-1.113777995,-1.389163017,-1.311682105,-1.27180624
Afghanistan,AFG,Regulatory Quality: Number of Sources,RQ.NO.SRC,9,9,8,6,6
Afghanistan,AFG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,10.47619057,10.47619057,8.095237732,8.095237732,8.962264061
Afghanistan,AFG,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,6.190476418,6.666666508,3.809523821,3.809523821,3.773584843
Afghanistan,AFG,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER,19.04761887,20,12.38095284,16.19047546,18.39622688
Afghanistan,AFG,Regulatory Quality: Standard Error,RQ.STD.ERR,0.197536752,0.197080895,0.214174584,0.228881583,0.222128779
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,-1.688586712,-1.741318822,-1.831374288,-1.87635684,-1.658442259
Albania,ALB,Control of Corruption: Estimate,CC.EST,-0.545840263,-0.563899636,-0.572924495,-0.576535523,-0.407875538
Albania,ALB,Control of Corruption: Number of Sources,CC.NO.SRC,11,11,9,9,9
Albania,ALB,Control of Corruption: Percentile Rank,CC.PER.RNK,33.33333206,32.38095093,31.4285717,31.90476227,38.679245
Albania,ALB,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,24.2857151,24.2857151,22.8571434,21.4285717,26.88679314
Albania,ALB,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,43.33333206,43.33333206,43.80952454,45.23809433,50
Albania,ALB,Control of Corruption: Standard Error,CC.STD.ERR,0.13549161,0.14615263,0.149973631,0.162024856,0.158030227
Albania,ALB,Government Effectiveness: Estimate,GE.EST,0.080650173,-0.062144101,-0.15488033,-0.035360068,0.065062843
Albania,ALB,Government Effectiveness: Number of Sources,GE.NO.SRC,7,7,6,6,6
Albania,ALB,Government Effectiveness: Percentile Rank,GE.PER.RNK,55.23809433,49.04761887,48.09523773,50.95238113,56.60377502
Albania,ALB,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,42.38095093,35.23809433,31.4285717,34.2857132,35.84905624
Albania,ALB,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,68.09523773,64.76190186,60.95238113,66.66666412,68.39622498
Albania,ALB,Government Effectiveness: Standard Error,GE.STD.ERR,0.224906608,0.233657479,0.256462783,0.258666575,0.267456383
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.366642982,0.11004968,0.088576451,0.196294025,0.114945494
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,8,7,6,6,6
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,58.49056625,51.88679123,50,52.35848999,50.47169876
Albania,ALB,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,48.11320877,37.26415253,35.84905624,41.03773499,36.320755
Albania,ALB,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,69.3396225,60.84905624,60.84905624,63.679245,60.84905624
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.212307975,0.22952044,0.232469827,0.234690771,0.233039767
Albania,ALB,Regulatory Quality: Estimate,RQ.EST,0.256079823,0.272065461,0.221967235,0.175859392,0.159353822
Albania,ALB,Regulatory Quality: Number of Sources,RQ.NO.SRC,8,8,7,7,7
Albania,ALB,Regulatory Quality: Percentile Rank,RQ.PER.RNK,62.8571434,61.90476227,58.57143021,58.57143021,57.54716873
Albania,ALB,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,49.52381134,49.52381134,45.23809433,46.19047546,43.86792374
Albania,ALB,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER,71.90476227,72.38095093,71.90476227,70.47618866,68.86792755
Albania,ALB,Regulatory Quality: Standard Error,RQ.STD.ERR,0.206044436,0.203257471,0.221013695,0.220166966,0.225545198
Albania,ALB,Rule of Law: Estimate,RL.EST,-0.414187849,-0.425378829,-0.376249194,-0.280372351,-0.165779099
Algeria,DZA,Control of Corruption: Estimate,CC.EST,-0.658660114,-0.655895114,-0.666460216,-0.635657609,-0.637929857
Algeria,DZA,Control of Corruption: Number of Sources,CC.NO.SRC,9,8,6,7,7
Algeria,DZA,Control of Corruption: Percentile Rank,CC.PER.RNK,28.5714283,28.09523773,27.61904716,29.52380943,28.30188751
Algeria,DZA,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,17.61904716,17.1428566,18.09523773,19.04761887,19.81132126
Algeria,DZA,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,40,40.47618866,41.42856979,43.33333206,42.45283127
Algeria,DZA,Control of Corruption: Standard Error,CC.STD.ERR,0.15487887,0.173814848,0.185096666,0.178580597,0.176952273
Algeria,DZA,Government Effectiveness: Estimate,GE.EST,-0.488373935,-0.567730427,-0.573433459,-0.653295338,-0.513090253
Algeria,DZA,Government Effectiveness: Number of Sources,GE.NO.SRC,9,8,6,6,6
Algeria,DZA,Government Effectiveness: Percentile Rank,GE.PER.RNK,35.7142868,32.8571434,31.90476227,28.5714283,32.54716873
Algeria,DZA,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,19.04761887,15.23809528,16.19047546,12.85714245,15.56603813
Algeria,DZA,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,47.1428566,42.8571434,46.66666794,41.90476227,48.11320877
Algeria,DZA,Government Effectiveness: Standard Error,GE.STD.ERR,0.206083715,0.216119185,0.246358693,0.247155651,0.248698205
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.84212178,-1.055829883,-0.847814322,-0.992437243,-0.741771519
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,7,6,5,6,6
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,17.92452812,13.20754719,17.92452812,15.56603813,19.3396225
Algeria,DZA,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,11.320755,8.490566254,11.320755,10.37735844,12.73584938
Algeria,DZA,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,28.77358437,22.64151001,28.30188751,24.05660439,32.07546997
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.217243075,0.23491025,0.23761414,0.234690771,0.233039767
Algeria,DZA,Regulatory Quality: Estimate,RQ.EST,-1.346901417,-1.388313293,-1.355300307,-1.181962967,-1.063573241
Algeria,DZA,Regulatory Quality: Number of Sources,RQ.NO.SRC,7,7,5,6,6
Algeria,DZA,Regulatory Quality: Percentile Rank,RQ.PER.RNK,8.095237732,7.142857075,8.571428299,10,14.15094376
